pcode_ts,pcode_st,name_st,name_ts,candidate_name,party_name,votes
MMR017024,MMR017,Ayeyarwady,Bogale,Daw Sandar Oo,Peace and Diversity Party,5559
MMR017024,MMR017,Ayeyarwady,Bogale,U Aung Myo,Modern People's Party,4814
MMR017024,MMR017,Ayeyarwady,Bogale,U Khin Maung Win,National Democratic Force,13063
MMR017024,MMR017,Ayeyarwady,Bogale,U Mya Thein,Union Solidarity And Development Party,80972
MMR017024,MMR017,Ayeyarwady,Bogale,U Htay Nyunt,National Unity Party (NUP),37900
MMR017022,MMR017,Ayeyarwady,Danubyu,U Kyi Tint,Union Solidarity And Development Party,67142
MMR017022,MMR017,Ayeyarwady,Danubyu,U Shwe Maung,National Unity Party (NUP),27781
MMR017026,MMR017,Ayeyarwady,Dedaye,U Hla Ngwe,Modern People's Party,9361
MMR017026,MMR017,Ayeyarwady,Dedaye,U Tin Win,Union Solidarity And Development Party,62940
MMR017026,MMR017,Ayeyarwady,Dedaye,U Tun Kyi,National Unity Party (NUP),27237
MMR017015,MMR017,Ayeyarwady,Einme,U Saw James,Union Solidarity And Development Party,54641
MMR017015,MMR017,Ayeyarwady,Einme,U Thaung Nyunt,National Unity Party (NUP),43888
MMR017008,MMR017,Ayeyarwady,Hinthada,U Htay Oo,Union Solidarity And Development Party,142704
MMR017008,MMR017,Ayeyarwady,Hinthada,U Saw Tun,National Unity Party (NUP),33284
MMR017013,MMR017,Ayeyarwady,Ingapu,U Maung Maung Soe,Union Solidarity And Development Party,107348
MMR017013,MMR017,Ayeyarwady,Ingapu,U Tin Aung,National Unity Party (NUP),17013
MMR017002,MMR017,Ayeyarwady,Kangyidaunt,U Kyaw Win,Union Solidarity And Development Party,46115
MMR017002,MMR017,Ayeyarwady,Kangyidaunt,U Than Tin,National Unity Party (NUP),33085
MMR017025,MMR017,Ayeyarwady,Kyaiklat,U Saw Kenneth Wai Thaw,Kayin People's Party,4665
MMR017025,MMR017,Ayeyarwady,Kyaiklat,U Tin Win,National Political Alliances League,10721
MMR017025,MMR017,Ayeyarwady,Kyaiklat,U Aung Aung,Modern People's Party,5382
MMR017025,MMR017,Ayeyarwady,Kyaiklat,U Than Win,Union Solidarity And Development Party,56749
MMR017025,MMR017,Ayeyarwady,Kyaiklat,U Than Nyunt,National Unity Party (NUP),14636
MMR017025,MMR017,Ayeyarwady,Kyaiklat,U Kyaw San,Independent Candidates,5437
MMR017012,MMR017,Ayeyarwady,Kyangin,Dr.Tin Maung Kyaing,Union Solidarity And Development Party,25184
MMR017012,MMR017,Ayeyarwady,Kyangin,U Thein Lwin,National Unity Party (NUP),24617
MMR017007,MMR017,Ayeyarwady,Kyaunggon,U Thein Tun,Union Solidarity And Development Party,50392
MMR017007,MMR017,Ayeyarwady,Kyaunggon,U Ohn Marn,National Unity Party (NUP),31555
MMR017005,MMR017,Ayeyarwady,Kyonpyaw,U Tint Win,National Democratic Force,18247
MMR017005,MMR017,Ayeyarwady,Kyonpyaw,Dr.Soe Thuya,Union Solidarity And Development Party,71994
MMR017005,MMR017,Ayeyarwady,Kyonpyaw,U Min Hla Shein,National Unity Party (NUP),31064
MMR017016,MMR017,Ayeyarwady,Labutta,U Ohn Hlaing,Union Of Myanmar Federation Of National Politics,10124
MMR017016,MMR017,Ayeyarwady,Labutta,U Zaw Tun,Union Solidarity And Development Party,96951
MMR017016,MMR017,Ayeyarwady,Labutta,U Aung Aung,National Unity Party (NUP),63245
MMR017016,MMR017,Ayeyarwady,Labutta,U Myat Oo,Independent Candidates,41527
MMR017010,MMR017,Ayeyarwady,Lemyethna,U Ba Htay,Union Solidarity And Development Party,34288
MMR017010,MMR017,Ayeyarwady,Lemyethna,U Shwe Thaung,National Unity Party (NUP),1067
MMR017010,MMR017,Ayeyarwady,Lemyethna,Dr. Soe Lwin,Independent Candidates,21916
MMR017019,MMR017,Ayeyarwady,Maubin,U Thein Nyunt,Union Solidarity And Development Party,123824
MMR017019,MMR017,Ayeyarwady,Maubin,U Myo Myint,Union Of Myanmar Federation Of National Politics,4877
